date,climate_sentiment,social_interaction
2010-01-01,-0.144971552388898,82.5817326039944
2010-02-01,-0.0265294678017461,100
2010-03-01,-0.175538016936772,30.3569069947356
2010-04-01,-0.0158080405211178,27.3851487353488
2010-05-01,-0.168423282638941,57.5766542844551
2010-06-01,-0.14092404535363,43.9389844434114
2010-07-01,-0.175328262890044,25.5246429236375
2010-08-01,-0.151945341123835,26.3760540366256
2010-09-01,-0.0602641221574664,26.4052389490918
2010-10-01,-0.0124914277693954,16.1954096270322
2010-11-01,-0.163563087253946,31.6342986656372
2010-12-01,-0.106866503507129,32.7868151263153
2011-01-01,-0.138297873427202,23.5815644942617
2011-02-01,-0.0811010378519153,20.6423695758167
2011-03-01,-0.100269253869819,23.1128861372726
2011-04-01,-0.0622849798862838,22.2934874026401
2011-05-01,-0.0659054496441552,20.3925267695044
2011-06-01,-0.0170592868686286,21.5995290693396
2011-07-01,-0.0458886548220449,18.6357424547814
2011-08-01,-0.102466425702762,17.8728416182336
2011-09-01,-0.130113157612151,25.2483796823556
2011-10-01,-0.0628062699384715,20.1388139206941
2011-11-01,-0.0477744508787409,30.3275828025916
2011-12-01,-0.0744803061570979,22.8988139413747
2012-01-01,-0.0512000375146347,22.2833834075309
2012-02-01,-0.0903940919491297,23.6014127836956
2012-03-01,-0.0741893980620162,22.6838905928298
2012-04-01,-0.135920581123505,24.0000267393382
2012-05-01,-0.110783076534186,13.5643133475193
2012-06-01,-0.0500639641356741,23.986455176707
2012-07-01,-0.129799132853365,12.7785150918385
2012-08-01,-0.0652568312669513,20.429776028981
2012-09-01,-0.0332681983088246,14.1807047183017
2012-10-01,0.0156661602777583,12.4446868627027
2012-11-01,-0.116107225127099,21.71994457949
2012-12-01,-0.0951504248669659,17.1944312157481
2013-01-01,-0.0896994496043846,23.6690265207289
2013-02-01,-0.0731970291733472,22.7082167440391
2013-03-01,-0.0272672115945516,21.8568494400708
2013-04-01,-0.0675602266806279,20.0730254829859
2013-05-01,-0.064974996093086,30.5087160741308
2013-06-01,-0.0230487909608196,36.5051697353066
2013-07-01,-0.0538409176151103,23.472689901856
2013-08-01,-0.0125019766373943,19.2434567323088
2013-09-01,-0.00305176357498658,20.6469786422054
2013-10-01,-0.0381523817750777,21.3904830213636
2013-11-01,-0.0661116317475823,30.4720473112966
2013-12-01,-0.0473687331969887,36.3897446369804
2014-01-01,-0.0189150263898164,45.6876300825234
2014-02-01,-0.018065003762838,39.1828723992736
2014-03-01,-0.0010809302206066,68.8259907079278
2014-04-01,0.01540694498903,48.8498968612223
2014-05-01,0.00854261608826765,55.1578979396484
2014-06-01,-0.00346668040287523,43.033195986551
2014-07-01,-0.0105299709395014,30.5320644229323
2014-08-01,0.0402390756819285,30.9887315415924
2014-09-01,0.00202074602504717,39.6664922254721
2014-10-01,0.00543593324425268,33.1366298076235
2014-11-01,0.0127439544843711,57.6144903305746
2014-12-01,0.00684351502695467,35.7809458170627
2015-01-01,0.0289218012086949,36.2704322717682
2015-02-01,-0.0207979148916215,29.9272107797123
2015-03-01,-0.024965202107557,33.8797805849762
2015-04-01,-0.0181050236829557,28.2580037604584
2015-05-01,0.0145115726061406,33.7065616038972
2015-06-01,-0.0104752396814272,42.0166087079301
2015-07-01,-0.00292150877687792,21.2395040980266
2015-08-01,0.0199980290207722,34.9729539808383
2015-09-01,-0.0945273091802167,71.0642321873646
2015-10-01,-0.0471565468872249,33.2030056675436
2015-11-01,-0.0224080029103239,60.1592710120098
2015-12-01,0.0572135143976539,87.730126194742
2016-01-01,-0.0247681911006009,41.6091029081004
2016-02-01,-0.030926895124683,35.2025730474832
2016-03-01,-0.00152698970928082,34.1184646429996
2016-04-01,-0.0355254141869482,32.1269034301461
2016-05-01,-0.0965748832841066,29.2889610661065
2016-06-01,0.0239469992751638,41.8081846695829
2016-07-01,-0.0138352586138589,31.6635878037018
2016-08-01,-0.0499449245072206,31.9585000999896
2016-09-01,-0.0122944675390317,34.9784166095625
2016-10-01,-0.0279452411533865,29.4178919841531
2016-11-01,-0.0147517986976597,46.2735710566802
2016-12-01,-0.0188289855181934,30.149986972492
2017-01-01,-0.0796680209279769,44.9717108946292
2017-02-01,-0.0229379578529327,32.8303270723414
2017-03-01,-0.0286476113238333,33.224451557132
2017-04-01,-0.044630516251381,26.9139108294546
2017-05-01,-0.0210554032685461,38.0831803738816
2017-06-01,-0.0209898578503928,44.9737636036192
2017-07-01,-0.0401001849867283,26.84196056762
2017-08-01,-0.0482676689840317,30.1857931448423
2017-09-01,-0.0131574050512955,32.9870752513052
2017-10-01,-0.0420104777232688,30.3622201176
2017-11-01,-0.0255649081968993,29.3516113587184
2017-12-01,-0.0286248920341888,24.8572889725408
2018-01-01,-0.0211093202980597,21.9526587254069
2018-02-01,-0.00912684377129456,23.0005790444097
2018-03-01,-0.0108383620599516,26.268618175042
2018-04-01,-0.0134758961768491,21.8270784267259
2018-05-01,-0.039783381042237,26.8361246729641
2018-06-01,-0.0672541234183563,28.640481913469
2018-07-01,-0.013729215677846,25.753316560953
2018-08-01,-0.0278160745720006,26.5673263535769
2018-09-01,-0.00680308618787154,27.6929936102526
2018-10-01,-0.0310976974695666,30.3395453320674
2018-11-01,-0.0207615662536582,35.7667142485686
2018-12-01,-0.0127011312084332,37.0328695533783
2019-01-01,-0.0157847054512066,37.2177317848689
2019-02-01,-0.0161686402782496,40.9034215075448
2019-03-01,-0.0293010385858979,34.5989500765948
2019-04-01,-0.0203103323593091,37.7171707596201
2019-05-01,0.0215783627903677,51.4347649559989
2019-06-01,0.0285041522721818,61.3471511515437
2019-07-01,0.0585994644153142,59.1142774204225
2019-08-01,0.03084951556464,63.0526583032835
2019-09-01,0.0362316514481916,77.9092431400407
